; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x8219D0F0  sub_8219D0F0  [called 1x]
  0x8219D558  sub_8219D558  [called 1x]
  0x8219DE18  sub_8219DE18  [called 1x]
  0x8219E590  sub_8219E590  [called 3x]
  0x8219E640  sub_8219E640  [called 3x]
  0x8219E748  sub_8219E748  [called 1x]
  0x8219FBD8  sub_8219FBD8  [called 2x]
  0x8219FCD8  sub_8219FCD8  [called 2x]
  0x821A0F10  sub_821A0F10  [called 5x]
  0x821A0FC8  sub_821A0FC8  [called 3x]
  0x821A3BC0  sub_821A3BC0  [called 4x]
  0x821A3CD0  sub_821A3CD0  [called 2x]
  0x821A59B8  sub_821A59B8  [called 1x]
  0x821A5BD0  sub_821A5BD0  [called 1x]
  0x821A6080  sub_821A6080  [called 1x]
  0x821A6290  sub_821A6290  [called 2x]
  0x821A65D8  sub_821A65D8  [called 1x]
  0x821A66A8  sub_821A66A8  [called 3x]
  0x821A6A98  sub_821A6A98  [called 2x]
  0x821A6B80  sub_821A6B80  [called 1x]
  0x821A7090  sub_821A7090  [called 1x]
  0x821A74C8  sub_821A74C8  [called 2x]
  0x821A76E8  sub_821A76E8  [called 4x]
  0x821A7A48  sub_821A7A48  [called 4x]
  0x821A7B30  sub_821A7B30  [called 1x]
  0x821A7F98  sub_821A7F98  [called 3x]
  0x821A8718  sub_821A8718  [called 3x]
  0x821A87B0  sub_821A87B0  [called 2x]
  0x821A88E0  sub_821A88E0  [called 0x]
  0x821A8B88  sub_821A8B88  [called 0x]
  0x821A8BE0  sub_821A8BE0  [called 0x]
  0x821A9EC0  sub_821A9EC0  [called 8x]
  0x821AADE8  sub_821AADE8  [called 7x]
  0x821AAEE8  sub_821AAEE8  [called 34x]
  0x821AC8C0  sub_821AC8C0  [called 1x]
  0x821ACF68  sub_821ACF68  [called 5x]
  0x821ADD88  sub_821ADD88  [called 2x]
  0x821AF5F0  sub_821AF5F0  [called 1x]
  0x821AF670  sub_821AF670  [called 1x]
