auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P1r  ] 0x821871C0  sysMemSimpleAllocator_Free                               string ref (was sysMemSimpleAllocator_Free_71C0_71C0_71C0_71C0_71C0_71C0_71C0)
  [P8r  ] 0x82187D90  sysMemSimpleAllocator_7D90                               rev 3/6 callers 'rage::sysMemSimpleAllocator'
  [P8f  ] 0x821883D8  game_83D8                                                fwd 6/11 'game'
  [P8f  ] 0x8218A490  game_A490                                                fwd 2/4 'game'
  [P8f  ] 0x8218B2E0  game_B2E0                                                fwd 2/4 'game'
  [P1r  ] 0x8218D200  pongPlayer_Update2                                       string ref (was pongPlayerShaderParams_UpdateParams)
  [P1r  ] 0x8218E6E8  pongPlayer_Render                                        string ref (was pongPlayer_Render_E6E8_E6E8_E6E8_E6E8_E6E8_E6E8_E6E8_E6E8)
  [P8f  ] 0x8218ECA0  game_ECA0                                                fwd 2/2 'game'
  [P8f  ] 0x821906A0  game_06A0                                                fwd 2/3 'game'
  [P8f  ] 0x82190780  game_0780                                                fwd 3/6 'game'
  [P1r  ] 0x82190ED8  pongPlayer_StartSwing                                    string ref (was pongPlayer_StartSwing_0ED8_0ED8_0ED8_0ED8_0ED8_0ED8_0ED8_0ED8)
  [P1r  ] 0x82191240  pongPlayer_FinalizeServe                                 string ref (was pongPlayer_FinalizeServe_1240_1240_1240_1240_1240_1240_1240_1240)
  [P1r  ] 0x82191608  pongPlayer_FinalizeSwing                                 string ref (was pongPlayer_FinalizeSwing_1608_1608_1608_1608_1608_1608_1608_1608)
  [P8f  ] 0x82192490  game_2490_2490                                           fwd 2/2 'game'
  [P1r  ] 0x82192668  pongPlayer_EnterServeMode                                string ref (was pongPlayer_EnterServeMode_2668_2668_2668_2668_2668_2668_2668_2668)
  [P8f  ] 0x82192CD0  game_2CD0                                                fwd 3/4 'game'
  [P8f  ] 0x82192D88  game_2D88                                                fwd 3/6 'game'
  [P1r  ] 0x82192F00  pongPlayer_SetupServe                                    string ref (was pongPlayer_SetupServe_2F00_2F00_2F00_2F00_2F00_2F00_2F00_2F00)
  [P1r  ] 0x82193190  pongPlayer_StartServe                                    string ref (was pongPlayer_StartServe_3190_3190_3190_3190_3190_3190_3190_3190)
  [P1r  ] 0x82193298  pongPlayer_Serve                                         string ref (was pongPlayer_Serve_3298_3298_3298_3298_3298_3298_3298_3298)
  [P8f  ] 0x821952C0  game_52C0                                                fwd 5/7 'game'
  [P1r  ] 0x82195690  pongRemotePlayer_StartJunkSwing                          string ref (was pongRemotePlayer_StartJunkSwing_5690_5690_5690_5690_5690_5690_5690_5690)
  [P8f  ] 0x82195A70  game_5A70                                                fwd 2/3 'game'
  [P1r  ] 0x821981D0  pongPlayer_HitBall                                       string ref (was pongPlayer_HitBall_81D0_81D0_81D0_81D0_81D0_81D0_81D0_81D0)
  [P8f  ] 0x82198840  game_8840                                                fwd 3/8 'game'
  [P8f  ] 0x8219B848  game_B848                                                fwd 2/6 'game'
  [P8r  ] 0x8219E590  game_E590                                                rev 2/3 callers 'game'
  [P8r  ] 0x8219E640  game_E640_E640                                           rev 3/3 callers 'game'
  [P8f  ] 0x8219E7B0  game_E7B0_E7B0                                           fwd 2/2 'game'
  [P8f  ] 0x8219FDD0  game_FDD0                                                fwd 2/5 'game'
  [P8r  ] 0x821A0C58  game_0C58_0C58                                           rev 2/2 callers 'game'
  [P8r  ] 0x821A0CA8  game_0CA8_0CA8                                           rev 2/5 callers 'game'
  [P8r  ] 0x821A0FC8  game_0FC8                                                rev 2/3 callers 'game'
  [P8f  ] 0x821A10C0  game_10C0                                                fwd 2/3 'game'
  [P8r  ] 0x821A1208  game_1208                                                rev 2/2 callers 'game'
  [P8f  ] 0x821A1460  game_1460                                                fwd 9/34 'game'
  [P8f  ] 0x821A2858  game_2858                                                fwd 2/5 'game'
  [P8f  ] 0x821A5758  game_5758                                                fwd 2/6 'game'
  [P8r  ] 0x821A8718  xmlNodeStructArray_8718                                  rev 2/3 callers 'xmlNodeStructArray'
  [P8r  ] 0x821A87B0  xmlNodeStructArray_87B0                                  rev 2/2 callers 'xmlNodeStructArray'
  [P8r  ] 0x821A8820  xmlNodeStructArray_8820                                  rev 2/2 callers 'xmlNodeStructArray'
  [P1r  ] 0x821A9068  xmlNodeStruct_SavePropertyValue                          string ref (was xmlNodeStruct_SavePropertyValue_9068_9068_9068_9068_9068_9068_9068_9068)
  [P8f  ] 0x821AA2C8  game_A2C8                                                fwd 2/5 'game'
  [P8f  ] 0x821AA480  game_A480                                                fwd 2/3 'game'
  [P8f  ] 0x821AA580  game_A580                                                fwd 2/3 'game'
  [P8f  ] 0x821AE630  game_E630_E630                                           fwd 4/6 'game'
  [P8f  ] 0x821B26C0  game_26C0_26C0                                           fwd 2/3 'game'
  [P8r  ] 0x821B2C08  game_2C08_2C08                                           rev 10/18 callers 'game'
  [P8f  ] 0x821B2DA8  game_2DA8                                                fwd 2/4 'game'
  [P8f  ] 0x821B5038  game_5038                                                fwd 2/5 'game'
  [P8f  ] 0x821B5248  game_5248_5248                                           fwd 2/5 'game'
  [P8f  ] 0x821B5310  game_5310                                                fwd 2/6 'game'
  [P8f  ] 0x821B5D58  game_5D58                                                fwd 2/6 'game'
  [P8f  ] 0x821B5ED8  game_5ED8_5ED8                                           fwd 3/5 'game'
  [P8f  ] 0x821B7038  game_7038_7038                                           fwd 3/6 'game'
  [P8f  ] 0x821B7578  game_7578_7578                                           fwd 4/5 'game'
  [P8f  ] 0x821B7818  game_7818_7818                                           fwd 2/2 'game'
  [P8f  ] 0x821B7920  game_7920                                                fwd 2/2 'game'
  [P8f  ] 0x821B7A28  game_7A28                                                fwd 3/7 'game'
  [P8f  ] 0x821B9F40  game_9F40                                                fwd 2/3 'game'
  [P8f  ] 0x821BA080  game_A080_A080                                           fwd 3/4 'game'
  [P8f  ] 0x821C3E20  game_3E20_3E20                                           fwd 2/4 'game'
  [P8f  ] 0x821C4FB0  game_4FB0_4FB0                                           fwd 3/5 'game'
  [P8r  ] 0x821C52F0  atSingleton_52F0                                         rev 2/2 callers 'atSingleton'
  [P8f  ] 0x821C5828  game_5828_5828                                           fwd 2/3 'game'
  [P8r  ] 0x821C5C20  jumptable_5C20                                           rev 2/2 callers 'jumptable'
  [P8f  ] 0x821C5D80  game_5D80                                                fwd 3/8 'game'
  [P8f  ] 0x821C5F60  game_5F60_5F60                                           fwd 2/5 'game'
  [P8f  ] 0x821C6140  game_6140                                                fwd 2/5 'game'
  [P8f  ] 0x821C6320  game_6320                                                fwd 2/5 'game'
  [P8f  ] 0x821C64D0  game_64D0_64D0                                           fwd 2/5 'game'
