auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x8222F960  rage_F960                                           [calls 11x into 'rage' module]
  0x82230D38  rage_0D38                                           [calls 2x into 'rage' module]
  0x822335F0  game_35F0                                           [calls 5x into 'game' module]
  0x82233A40  memset_3A40                                         [calls 2x into 'memset' module]
  0x82234360  game_4360                                           [calls 2x into 'game' module]
  0x82234518  rage_4518                                           [calls 2x into 'rage' module]
  0x82234628  game_4628                                           [calls 2x into 'game' module]
  0x82234BD0  game_4BD0                                           [calls 3x into 'game' module]
  0x82234F88  rage_4F88                                           [calls 11x into 'rage' module]
  0x82235E50  rage_5E50                                           [calls 11x into 'rage' module]
  0x82237A60  rage_7A60                                           [calls 6x into 'rage' module]
  0x82237D88  game_7D88                                           [calls 2x into 'game' module]
  0x822380C8  game_80C8                                           [calls 3x into 'game' module]
  0x822381B8  game_81B8                                           [calls 10x into 'game' module]
  0x82238678  game_8678                                           [calls 2x into 'game' module]
  0x822388C0  game_88C0                                           [calls 2x into 'game' module]
  0x822389D0  game_89D0                                           [calls 2x into 'game' module]
  0x82239100  rage_9100                                           [calls 2x into 'rage' module]
  0x82239988  rage_9988                                           [calls 2x into 'rage' module]
  0x8223A258  rage_A258                                           [calls 2x into 'rage' module]
  0x8223AB00  game_AB00                                           [calls 2x into 'game' module]
  0x8223ADE0  game_ADE0                                           [calls 3x into 'game' module]
  0x8223AFF0  game_AFF0                                           [calls 3x into 'game' module]
  0x82248438  rage_8438                                           [calls 2x into 'rage' module]
  0x82248720  rage_8720                                           [calls 2x into 'rage' module]
  0x82248C58  game_8C58                                           [calls 2x into 'game' module]
  0x82249248  grc_9248                                            [calls 6x into 'grc' module]
  0x8224ACA0  game_ACA0                                           [calls 2x into 'game' module]
  0x8224B1C8  game_B1C8                                           [calls 3x into 'game' module]
  0x8224B308  game_B308                                           [calls 2x into 'game' module]
  0x8224B3F8  game_B3F8                                           [calls 2x into 'game' module]
  0x8224BB98  vtthunk_8224BB98                                    [vtable thunk (4 insns, ends bctr)]
  0x8224D3D8  rage_D3D8                                           [calls 3x into 'rage' module]
  0x82251388  game_1388                                           [calls 2x into 'game' module]
  0x822518C0  game_18C0                                           [calls 2x into 'game' module]
  0x82254568  game_4568                                           [calls 2x into 'game' module]
  0x82255940  memmov_5940                                         [calls 2x into 'memmov' module]
  0x82256968  game_6968                                           [calls 2x into 'game' module]
  0x82256D98  game_6D98                                           [calls 2x into 'game' module]
  0x82258FC0  game_8FC0                                           [calls 3x into 'game' module]
  0x8225B498  game_B498                                           [calls 2x into 'game' module]
  0x8225D230  vtthunk_8225D230                                    [vtable thunk (4 insns, ends bctr)]
  0x8225D798  game_D798                                           [calls 2x into 'game' module]
